date,Total_Q_m3_s,Feeagh_EPA_ht_m,comments
2016-08-10,3.406829917,0.37,
2016-08-30,1.992529083,0.315,
2016-10-03,3.1237145,0.406,
2016-10-18,1.286888,0.273,
2017-01-11,4.1777225,0.511,
2017-01-31,4.495791083,0.447,
2017-02-27,12.76356829,0.843,
2017-05-03,0.422211167,0.199,
2017-07-25,2.6547755,0.383,no_Feeagh_staff_readings_for_this_date_so_using_linear_interp_between_day_before_and_day_after
2017-08-22,9.592590417,0.756,
2017-09-19,2.413378167,0.357,
2017-10-09,5.530457667,0.508,
2017-10-11,16.68522575,1.027,
2018-04-12,2.04298375,0.344,
2018-04-13,2.059409583,0.329,
2018-05-28,0.868122917,0.25,
2018-06-12,0.469574167,0.177,Very_low_SL_partially_dried_out
2018-08-22,7.071969083,0.628,
2018-09-20,13.57263117,0.958,
2018-10-09,29.25308558,1.457,
