date,fee.tsMod,l_interp
03/03/1976,0.256,FALSE
04/03/1976,0.269,FALSE
05/03/1976,0.393,FALSE
06/03/1976,0.377,FALSE
07/03/1976,0.358,FALSE
08/03/1976,0.318,FALSE
09/03/1976,0.297,FALSE
10/03/1976,0.49,FALSE
11/03/1976,0.803,FALSE
12/03/1976,0.757,FALSE
13/03/1976,0.782,FALSE
14/03/1976,0.651,FALSE
15/03/1976,0.566,FALSE
16/03/1976,0.511,FALSE
17/03/1976,0.501,FALSE
18/03/1976,0.436,FALSE
19/03/1976,0.409,FALSE
20/03/1976,0.482,FALSE
21/03/1976,0.658,FALSE
22/03/1976,0.573,FALSE
23/03/1976,0.498,FALSE
24/03/1976,0.456,FALSE
25/03/1976,0.503,FALSE
26/03/1976,0.507,FALSE
27/03/1976,0.53,FALSE
28/03/1976,0.492,FALSE
29/03/1976,0.555,FALSE
30/03/1976,0.502,FALSE
31/03/1976,0.462,FALSE
01/04/1976,0.432,FALSE
02/04/1976,0.425,FALSE
03/04/1976,0.474,FALSE
04/04/1976,0.509,FALSE
05/04/1976,0.467,FALSE
06/04/1976,0.43,FALSE
07/04/1976,0.406,FALSE
08/04/1976,0.377,FALSE
09/04/1976,0.348,FALSE
10/04/1976,0.321,FALSE
11/04/1976,0.47,FALSE
12/04/1976,0.468,FALSE
13/04/1976,0.533,FALSE
14/04/1976,0.573,FALSE
15/04/1976,0.489,FALSE
16/04/1976,0.423,FALSE
17/04/1976,0.376,FALSE
18/04/1976,0.34,FALSE
19/04/1976,0.318,FALSE
20/04/1976,0.296,FALSE
21/04/1976,0.284,FALSE
22/04/1976,0.267,FALSE
23/04/1976,0.258,FALSE
24/04/1976,0.246,FALSE
25/04/1976,0.235,FALSE
26/04/1976,0.226,FALSE
27/04/1976,0.219,FALSE
28/04/1976,0.214,FALSE
29/04/1976,0.212,FALSE
30/04/1976,0.211,FALSE
01/05/1976,0.216,FALSE
02/05/1976,0.227,FALSE
03/05/1976,0.268,FALSE
04/05/1976,0.299,FALSE
05/05/1976,0.287,FALSE
06/05/1976,0.268,FALSE
07/05/1976,0.256,FALSE
08/05/1976,0.243,FALSE
09/05/1976,0.242,FALSE
10/05/1976,0.235,FALSE
11/05/1976,0.254,FALSE
12/05/1976,0.312,FALSE
13/05/1976,0.311,FALSE
14/05/1976,0.441,FALSE
15/05/1976,0.499,FALSE
16/05/1976,0.564,FALSE
17/05/1976,0.669,FALSE
18/05/1976,0.61,FALSE
19/05/1976,0.544,FALSE
20/05/1976,0.514,FALSE
21/05/1976,0.471,FALSE
22/05/1976,0.456,FALSE
23/05/1976,0.419,FALSE
24/05/1976,0.372,FALSE
25/05/1976,0.354,FALSE
26/05/1976,0.337,FALSE
27/05/1976,0.315,FALSE
28/05/1976,0.297,FALSE
29/05/1976,0.341,FALSE
30/05/1976,0.384,FALSE
31/05/1976,0.388,FALSE
01/06/1976,0.418,FALSE
02/06/1976,0.39,FALSE
03/06/1976,0.352,FALSE
04/06/1976,0.324,FALSE
05/06/1976,0.317,FALSE
06/06/1976,0.302,FALSE
07/06/1976,0.292,FALSE
08/06/1976,0.276,FALSE
09/06/1976,0.269,FALSE
10/06/1976,0.276,FALSE
11/06/1976,0.319,FALSE
12/06/1976,0.381,FALSE
13/06/1976,0.368,FALSE
14/06/1976,0.353,FALSE
15/06/1976,0.326,FALSE
16/06/1976,0.313,FALSE
17/06/1976,0.29,FALSE
18/06/1976,0.359,FALSE
19/06/1976,0.376,FALSE
20/06/1976,0.351,FALSE
21/06/1976,0.328,FALSE
22/06/1976,0.344,FALSE
23/06/1976,0.499,FALSE
24/06/1976,0.565,FALSE
25/06/1976,0.565,FALSE
26/06/1976,0.517,FALSE
27/06/1976,0.443,FALSE
28/06/1976,0.382,FALSE
29/06/1976,0.335,FALSE
30/06/1976,0.296,FALSE
01/07/1976,0.27,FALSE
02/07/1976,0.256,FALSE
03/07/1976,0.238,FALSE
04/07/1976,0.23,FALSE
05/07/1976,0.226,FALSE
06/07/1976,0.221,FALSE
07/07/1976,0.223,FALSE
08/07/1976,0.226,FALSE
09/07/1976,0.355,FALSE
10/07/1976,0.43,FALSE
11/07/1976,0.453,FALSE
12/07/1976,0.436,FALSE
13/07/1976,0.404,FALSE
14/07/1976,0.398,FALSE
15/07/1976,0.37,FALSE
16/07/1976,0.342,FALSE
17/07/1976,0.315,FALSE
18/07/1976,0.293,FALSE
19/07/1976,0.329,FALSE
20/07/1976,0.316,FALSE
21/07/1976,0.295,FALSE
22/07/1976,0.279,FALSE
23/07/1976,0.262,FALSE
24/07/1976,0.249,FALSE
25/07/1976,0.241,FALSE
26/07/1976,0.232,FALSE
27/07/1976,0.224,FALSE
28/07/1976,0.225,FALSE
29/07/1976,0.218,FALSE
30/07/1976,0.219,FALSE
31/07/1976,0.208,FALSE
01/08/1976,0.206,FALSE
02/08/1976,0.209,FALSE
03/08/1976,0.218,FALSE
04/08/1976,0.219,FALSE
05/08/1976,0.216,FALSE
06/08/1976,0.213,FALSE
07/08/1976,0.212,FALSE
08/08/1976,0.207,FALSE
09/08/1976,0.201,FALSE
10/08/1976,0.198,FALSE
11/08/1976,0.192,FALSE
12/08/1976,0.192,FALSE
13/08/1976,0.189,FALSE
14/08/1976,0.18,FALSE
15/08/1976,0.176,FALSE
16/08/1976,0.176,FALSE
17/08/1976,0.175,FALSE
18/08/1976,0.169,FALSE
19/08/1976,0.168,FALSE
20/08/1976,0.165,FALSE
21/08/1976,0.164,FALSE
22/08/1976,0.162,FALSE
23/08/1976,0.163,FALSE
24/08/1976,0.164,FALSE
25/08/1976,0.166,FALSE
26/08/1976,0.169,FALSE
27/08/1976,0.168,FALSE
28/08/1976,0.161,FALSE
29/08/1976,0.167,FALSE
30/08/1976,0.165,FALSE
31/08/1976,0.158,FALSE
01/09/1976,0.163,FALSE
02/09/1976,0.155,FALSE
03/09/1976,0.133,FALSE
04/09/1976,0.131,FALSE
05/09/1976,0.128,FALSE
06/09/1976,0.123,FALSE
07/09/1976,0.118,FALSE
08/09/1976,0.14,FALSE
09/09/1976,0.154,FALSE
10/09/1976,0.15,FALSE
11/09/1976,0.227,FALSE
12/09/1976,0.212,FALSE
13/09/1976,0.201,FALSE
14/09/1976,0.219,FALSE
15/09/1976,0.195,FALSE
16/09/1976,0.19,FALSE
17/09/1976,0.186,FALSE
18/09/1976,0.176,FALSE
19/09/1976,0.179,FALSE
20/09/1976,0.193,FALSE
21/09/1976,0.223,FALSE
22/09/1976,0.228,FALSE
23/09/1976,0.222,FALSE
24/09/1976,0.216,FALSE
25/09/1976,0.271,FALSE
26/09/1976,0.324,FALSE
27/09/1976,0.316,FALSE
28/09/1976,0.295,FALSE
29/09/1976,0.289,FALSE
30/09/1976,0.281,FALSE
01/10/1976,0.285,FALSE
02/10/1976,0.274,FALSE
03/10/1976,0.271,FALSE
04/10/1976,0.292,FALSE
05/10/1976,0.302,FALSE
06/10/1976,0.426,FALSE
07/10/1976,0.444,FALSE
08/10/1976,0.433,FALSE
09/10/1976,0.425,FALSE
10/10/1976,0.462,FALSE
11/10/1976,0.686,FALSE
12/10/1976,0.811,FALSE
13/10/1976,0.691,FALSE
14/10/1976,0.58,FALSE
15/10/1976,0.485,FALSE
16/10/1976,0.418,FALSE
17/10/1976,0.401,FALSE
